OBJECTID,NAME,CAPITAL,name_cn,OBJECTID1,地区国家,累计确诊,新增确诊,Shape_Length,Shape_Area
1,AUSTRALIA,CANBERRA,澳大利亚,3,澳大利亚,15,0,206.4865949311044,697.1114800574247
2,BELGIUM,BRUSSELS,比利时,4,比利时,1,0,9.726358516656175,3.4906112792500434
3,CAMBODIA,PHNOM PENH,柬埔寨,12,柬埔寨,1,0,17.283266000242786,15.09745870404986
4,CANADA,OTTAWA,加拿大,11,加拿大,7,0,1555.8759270941462,1647.7500982682654
5,CHINA,BEIJING,中国,27,中国,70635,2051,248.8216693624411,958.1973887475898
6,EGYPT,CAIRO,埃及,2,埃及,1,0,49.65185598660022,91.19834555634189
7,FINLAND,HELSINKI,芬兰,9,芬兰,1,0,49.60063770424547,62.02673094352433
8,FRANCE,PARIS,法国,7,法国,12,1,52.88291275416734,65.77613102716322
9,GERMANY,BERLIN,德国,5,德国,16,0,40.21621537581479,46.02332184825026
10,INDIA,NEW DELHI,印度,24,印度,3,0,139.9762158568565,279.551567762552
11,ITALY,ROME,意大利,23,意大利,3,0,58.821775343843065,33.8576392138523
12,JAPAN,TOKYO,日本,17,日本,53,12,81.93419085400431,38.97019479375141
13,"KOREA, REPUBLIC OF",SEOUL,韩国,10,韩国,29,1,16.01194866250559,8.870230280248608
14,MALAYSIA,KUALA LUMPUR,马来西亚,13,马来西亚,22,1,49.79989904781451,27.106260339720556
15,NEPAL,KATHMANDU,尼泊尔,15,尼泊尔,1,0,20.02563636391712,13.656719692751231
16,PHILIPPINES,MANILA,菲律宾,8,菲律宾,3,0,78.00998268593636,22.26058326517528
17,RUSSIAN FEDERATION,MOSCOW,俄罗斯,6,俄罗斯,2,0,1018.4494722665427,2909.6137863925564
18,SPAIN,MADRID,西班牙,21,西班牙,2,0,39.510725651688084,52.655416386525594
19,SRI LANKA,COLOMBO,斯里兰卡,19,斯里兰卡,1,0,12.089329830229625,4.790627305949876
20,SWEDEN,STOCKHOLM,瑞典,18,瑞典,1,0,60.65674147183005,77.7613184096759
21,THAILAND,BANGKOK,泰国,20,泰国,34,0,54.581789578607015,42.558096872050044
22,UNITED ARAB EMIRATES,ABU DHABI,阿联酋,1,阿联酋,8,0,17.674853161960147,8.42085123990175
23,UNITED KINGDOM,LONDON,英国,25,英国,9,0,66.53107646064396,30.733379083350727
24,UNITED STATES,WASHINGTON,美国,14,美国,15,0,480.499004202442,1109.0039059704707
25,VIETNAM,HA NOI,越南,26,越南,16,0,49.97056195189593,27.025888705025615
26,Singapore,,新加坡,22,新加坡,72,5,1.2689056078172032,0.10466184494510426
27,,,其他,16,其他,355,137,0.47041055884463034,0.013365553414913307
