OBJECTID,globe_OBJECTID,name_cn,globe_中文名,globe_Shape_Leng,gb_yq_20210712xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,1,中国,中国,260.042064225,221,中国,119374,53,5589,1,260.04206422474147,965.6285542020123
2,2,中非,中非,39.123866083,220,中非,7142,0,98,0,39.123866083048675,51.868558185838594
3,3,智利,智利,206.217212065,219,智利,1587478,2318,33877,110,206.21721206455453,76.94303951148807
4,4,直布罗陀,直布罗陀,0.0138837797373,218,直布罗陀,4413,10,94,0,0.013883779737236826,6.97538115385218e-06
5,5,乍得,乍得,50.1882839726,217,乍得,4954,0,174,0,50.18828397262675,107.57261660981044
6,6,泽西岛,泽西岛,0.468045681608,216,泽西岛,4351,0,69,0,0.46804568160716375,0.010293215375969375
7,7,赞比亚,赞比亚,44.992230033,215,赞比亚,175729,940,2822,47,44.99223003303926,63.45705186734683
8,8,越南,越南,51.129595842,214,越南,30478,2008,119,7,51.129595842029055,28.049825586585218
9,9,约旦,约旦,16.4457345707,213,约旦,756923,569,9836,10,16.44573457072095,8.174769097572026
10,10,英国,英国,79.9903954046,212,英国,5121249,31352,128425,26,79.99039540456778,32.91943771179002
11,11,印度尼西亚,印度尼西亚,332.897939671,211,印度尼西亚,2567630,40427,67355,891,332.89793967106874,150.2324304884168
12,12,印度,印度,131.090658474,210,印度,30874376,37154,408764,724,131.09065847419012,259.72588140084724
13,13,意大利,意大利,62.4436001036,209,意大利,4271276,1391,127775,7,62.44360010363238,33.478741916560494
14,14,以色列,以色列,8.29726235548,208,以色列,846327,69,6438,0,8.297262355484154,2.635821759653052
15,15,伊朗,伊朗,68.4016474288,207,伊朗,3373450,17664,85859,165,68.40164742880594,155.27545671985794
16,16,伊拉克,伊拉克,30.6606649068,206,伊拉克,1429362,7616,17548,33,30.660664906794203,41.78992464134522
17,17,也门,也门,33.5004417997,205,也门,6948,7,1366,0,33.50044179970094,35.874965221221984
18,18,亚美尼亚,亚美尼亚,9.90400007386,204,亚美尼亚,226459,71,4547,3,9.904000073855808,3.665524679494105
19,19,牙买加,牙买加,4.82798122279,203,牙买加,50720,91,1130,16,4.827981222792307,0.8247678758169106
20,20,叙利亚,叙利亚,20.6286198894,202,叙利亚,25785,9,1898,1,20.628619889358337,18.555305741023673
21,21,匈牙利,匈牙利,17.8172786283,201,匈牙利,808539,102,30007,3,17.81727862828512,10.96767898880457
22,22,新西兰,新西兰,58.3041653664,200,新西兰,2412,1,26,0,58.304165366366284,29.63120638720386
23,23,新喀里多尼亚,新喀里多尼亚,0.315384694174,199,新喀里多尼亚,129,0,0,0,0.3153846941739794,0.0043535203997104345
24,24,新加坡,新加坡,1.95533073363,198,新加坡,62692,8,36,0,1.9553307336349242,0.2523737098666097
25,25,希腊,希腊,58.4703424345,197,希腊,438809,1464,12792,5,58.47034243451138,12.923495647177484
26,27,西班牙,西班牙,55.1188411759,196,西班牙,3915313,0,80997,0,55.118841175901764,54.280343511511816
27,28,乌兹别克斯坦,乌兹别克斯坦,60.5666233837,195,乌兹别克斯坦,116421,458,774,3,60.5666233837278,45.83407503762229
28,29,乌拉圭,乌拉圭,16.9417479676,194,乌拉圭,376281,379,5807,17,16.941747967566673,17.708958502391088
29,30,乌克兰,乌克兰,63.0581799997,193,乌克兰,2241217,174,52604,7,63.05817999968692,73.69212728191064
30,31,乌干达,乌干达,19.6610128947,192,乌干达,87277,522,2104,14,19.661012894744616,18.979199764248577
31,32,文莱,文莱,4.61752042414,191,文莱,275,7,3,0,4.61752042414165,0.4896262132202988
32,33,委内瑞拉,委内瑞拉,58.5555637342,190,委内瑞拉,283742,802,3278,14,58.55556373422501,75.57584372702944
33,34,维尔京群岛,维尔京群岛,1.38853153158,189,维尔京群岛,1147,0,3,0,1.3885315315819444,0.020042683177038677
34,35,危地马拉,危地马拉,15.3555100892,188,危地马拉,317311,3009,9688,46,15.355510089228543,9.31605558714351
35,36,瓦努阿图,瓦努阿图,11.851157107,187,瓦努阿图,3,0,0,0,11.851157106954787,0.5959110387382458
36,230,瓦利斯群岛和富图纳群岛,瓦利斯群岛和富图纳群岛,0.545708928193,186,瓦利斯群岛和富图纳群岛,454,0,7,0,0.5457089281929385,0.008047407074154939
37,38,土耳其,土耳其,67.6334797887,185,土耳其,5481555,5261,50229,37,67.63347978872251,82.29688605646851
38,40,突尼斯,突尼斯,22.4586960373,184,突尼斯,497613,6592,16388,144,22.458696037337344,15.988278012532524
