OBJECTID,globe_中文名,name_cn,gb_yq_20200316xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,阿尔巴尼亚,阿尔巴尼亚,1,阿尔巴尼亚,42,4,1,0,7.973839727970497,2.9615437393915847
2,阿尔及利亚,阿尔及利亚,2,阿尔及利亚,49,12,3,0,68.11289203523224,213.6824817901263
3,阿富汗,阿富汗,3,阿富汗,16,6,0,0,46.10315447724969,61.25874997452199
4,阿根廷,阿根廷,4,阿根廷,56,11,2,0,124.43384391102639,278.07097318538524
5,阿联酋,阿联酋,5,阿联酋,98,13,0,0,15.781914584221616,7.623950770634311
6,阿曼,阿曼,6,阿曼,22,2,0,0,30.60536529088686,26.863630254245184
7,阿塞拜疆,阿塞拜疆,7,阿塞拜疆,19,0,0,0,20.694081153422545,8.877991750422158
8,埃及,埃及,8,埃及,126,33,2,0,46.51183683093997,88.79406872386022
9,埃塞俄比亚,埃塞俄比亚,9,埃塞俄比亚,1,0,0,0,43.97351072336223,93.69755942008183
10,爱尔兰,爱尔兰,10,爱尔兰,169,40,2,0,25.60628985993701,9.67974515082728
11,爱沙尼亚,爱沙尼亚,11,爱沙尼亚,205,126,0,0,19.427155810421777,6.571056220254507
12,安道尔,安道尔,12,安道尔,2,0,0,0,1.148365581641772,0.048186015059485804
13,奥地利,奥地利,14,奥地利,959,159,1,0,19.785455433542936,9.894883715319143
14,澳大利亚,澳大利亚,15,澳大利亚,298,0,5,0,218.54706975542805,697.4668706949112
15,巴基斯坦,巴基斯坦,16,巴基斯坦,52,24,0,0,71.22729220349414,74.32325893852614
16,巴拉圭,巴拉圭,17,巴拉圭,8,2,0,0,29.507348534862906,35.36356063685132
17,巴林,巴林,18,巴林,221,10,1,1,0.7772869774829815,0.017878320008286028
18,巴拿马,巴拿马,19,巴拿马,43,16,1,0,21.354909305120373,6.231212989740699
19,巴西,巴西,20,巴西,200,79,0,0,203.68408592836326,713.6777002155402
20,白俄罗斯,白俄罗斯,21,白俄罗斯,36,15,0,0,26.620256515886354,29.22619005212672
21,保加利亚,保加利亚,24,保加利亚,51,8,2,0,18.486250579841048,12.036351750300607
22,比利时,比利时,25,比利时,1085,396,5,5,9.590603160642818,3.8561271050731585
23,冰岛,冰岛,27,冰岛,138,0,0,0,44.847522370830106,19.530864421033492
24,波多黎各,波多黎各,28,波多黎各,3,0,0,0,4.370298525952583,0.7359221104986653
25,波兰,波兰,30,波兰,150,39,3,0,29.423172375593367,41.04475511016577
26,玻利维亚,玻利维亚,31,玻利维亚,11,8,0,0,49.648701517101635,90.23410133435924
27,不丹,不丹,32,不丹,1,0,0,0,8.209429426612896,3.265604484775075
28,布基纳法索,布基纳法索,33,布基纳法索,3,0,0,0,24.998218258751336,22.92749673022636
29,赤道几内亚,赤道几内亚,34,赤道几内亚,1,0,0,0,8.117197849601027,2.4481406002445376
30,丹麦,丹麦,35,丹麦,898,71,1,1,26.661887386371166,6.24551876266293
31,德国,德国,36,德国,4838,1043,12,4,43.899459389523734,46.496000691781006
32,多哥,多哥,37,多哥,1,0,0,0,12.905585097384508,4.596587935937527
33,多米尼加,多米尼加,38,多米尼加,5,0,0,0,11.055731619200202,4.114215997556154
34,俄罗斯,俄罗斯,39,俄罗斯,63,29,0,0,1086.6226050090904,2913.4201356909866
35,厄瓜多尔,厄瓜多尔,40,厄瓜多尔,37,14,2,2,31.184868452122494,20.283979588690894
36,法国,法国,41,法国,5380,911,127,36,65.84948177344266,66.25266750373707
37,法属圭亚那,法属圭亚那,44,法属圭亚那,7,0,0,0,12.489485824908574,7.400661348997434
38,梵蒂冈,梵蒂冈,45,梵蒂冈,1,0,0,0,0.7842750336300661,0.014991910040506387
39,菲律宾,菲律宾,46,菲律宾,140,0,12,0,104.06761462124311,23.03913329305567
