OBJECTID,name_cn,globe_中文名,gb_yq_20200416xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
24,新加坡,新加坡,189,新加坡,3699,447,10,0,1.9553307336349741,0.25237370986662855
25,希腊,希腊,188,希腊,2192,22,102,1,58.47034243451079,12.92349564717751
26,西班牙,西班牙,187,西班牙,177633,5092,18579,523,55.11884117590186,54.28034351151165
27,乌兹别克斯坦,乌兹别克斯坦,186,乌兹别克斯坦,1349,135,4,0,60.566623383728384,45.83407503762211
28,乌拉圭,乌拉圭,185,乌拉圭,492,9,8,0,16.94174796756671,17.708958502391425
29,乌克兰,乌克兰,184,乌克兰,4162,398,115,7,63.05817999968566,73.69212728191071
30,乌干达,乌干达,183,乌干达,55,1,0,0,19.66101289474454,18.979199764248666
31,文莱,文莱,182,文莱,136,0,1,0,4.61752042414142,0.4896262132202135
32,委内瑞拉,委内瑞拉,181,委内瑞拉,193,12,9,0,58.555563734225444,75.57584372702979
33,维尔京群岛,维尔京群岛,180,维尔京群岛,3,0,0,0,1.388531531582004,0.020042683177033064
34,危地马拉,危地马拉,179,危地马拉,180,13,5,0,15.355510089228881,9.316055587143682
35,土耳其,土耳其,178,土耳其,69392,4281,1518,115,67.6334797887219,82.29688605646889
36,突尼斯,突尼斯,177,突尼斯,780,33,35,1,22.45869603733724,15.988278012532687
37,特立尼达和多巴哥,特立尼达和多巴哥,176,特立尼达和多巴哥,114,1,8,0,3.6806295869510457,0.41371885206333986
38,特克斯和凯科斯群岛,特克斯和凯科斯群岛,175,特克斯和凯科斯群岛,10,0,1,0,0.16907941240067453,0.0007785022642430304
39,坦桑尼亚,坦桑尼亚,174,坦桑尼亚,88,35,4,1,42.0778900303477,78.86090528003739
40,泰国,泰国,173,泰国,2672,29,46,3,57.34601621381301,43.622431683623525
41,索马里,索马里,172,索马里,80,20,5,3,48.134093074293155,51.981417832342586
42,苏里南,苏里南,171,苏里南,10,0,1,0,14.846759095580548,11.428348254921477
43,苏丹,苏丹,170,苏丹,32,0,5,0,63.35097060783615,158.0466263581875
44,斯威士兰,斯威士兰,169,斯威士兰,16,1,0,0,4.598394421340182,1.359877619613463
45,斯洛文尼亚,斯洛文尼亚,168,斯洛文尼亚,1248,28,61,5,8.241584103351055,2.260139332641656
46,斯洛伐克,斯洛伐克,167,斯洛伐克,863,28,6,4,12.817386388913626,6.015673484608492
47,斯里兰卡,斯里兰卡,166,斯里兰卡,238,5,7,0,10.823566818714717,5.6547578790002735
48,圣文森特和格林纳丁斯,圣文森特和格林纳丁斯,165,圣文森特和格林纳丁斯,12,0,0,0,0.5292685976111337,0.013676869382207524
49,圣皮埃尔和密克隆,圣皮埃尔和密克隆,164,圣皮埃尔和密克隆,1,0,0,0,0.6753316023788365,0.011671034933068479
50,圣马力诺,圣马力诺,163,圣马力诺,393,21,36,0,1.1315150601924537,0.053428535148338854
51,圣马丁,圣马丁,162,圣马丁,88,1,11,0,0.15159164744217332,0.0008890849820801385
52,圣卢西亚,圣卢西亚,161,圣卢西亚,15,0,0,0,0.7709442296969025,0.028303511668235432
53,圣基茨和尼维斯,圣基茨和尼维斯,160,圣基茨和尼维斯,14,2,0,0,0.7962820065435684,0.016710142022505477
54,圣多美和普林西比,圣多美和普林西比,159,圣多美和普林西比,4,0,0,0,0.6010461132765064,0.021451675002792155
55,圣巴托洛缪岛,圣巴托洛缪岛,158,圣巴托洛缪岛,6,0,0,0,0.026108062410553995,2.9894488641715255e-05
56,沙特阿拉伯,沙特阿拉伯,157,沙特阿拉伯,5862,493,79,6,65.94437383515975,175.59795618430638
57,塞舌尔,塞舌尔,156,塞舌尔,11,0,0,0,0.474035543369871,0.008996655297809459
58,塞浦路斯,塞浦路斯,155,塞浦路斯,715,20,17,0,5.704546382021097,0.9150667581823533
59,塞内加尔,塞内加尔,154,塞内加尔,314,15,2,0,24.687196205215947,15.868518139954286
60,塞拉利昂,塞拉利昂,153,塞拉利昂,13,2,0,0,12.60435773370677,5.919323523956352
61,塞尔维亚,塞尔维亚,152,塞尔维亚,4873,408,99,5,16.158105261963865,9.776125219837244
62,萨尔瓦多,萨尔瓦多,151,萨尔瓦多,159,10,6,0,5.903552538931276,1.8024637233042697
63,瑞士,瑞士,150,瑞士,26336,583,973,73,11.567842828022886,5.104879920475372
64,瑞典,瑞典,149,瑞典,11927,482,1203,170,64.62631871977871,77.22779649392695
65,日本,日本,148,日本,8582,482,136,17,104.78979920248611,38.6245604384768
66,其他,其他,147,其他,712,0,12,0,0.4374878335246604,0.011018707466873966
67,葡萄牙,葡萄牙,146,葡萄牙,18091,643,599,32,22.388757655282816,9.403946300113338
68,挪威,挪威,145,挪威,6677,111,130,3,267.8994298156009,81.5746854145941
69,尼日利亚,尼日利亚,144,尼日利亚,373,30,11,1,41.78217691309813,76.66049680286514
70,尼日尔,尼日尔,143,尼日尔,584,14,14,0,48.70492264514408,99.73909344344415
71,尼加拉瓜,尼加拉瓜,141,尼加拉瓜,9,0,1,0,15.02529499901808,10.713922607552801
72,尼泊尔,尼泊尔,142,尼泊尔,16,0,0,0,20.23630907856142,13.060309627617007
73,南苏丹,南苏丹,140,南苏丹,4,0,0,0,40.022963518148636,51.96847326829974
74,南非,南非,139,南非,2506,91,34,7,67.18513901699886,116.54854257558902
75,纳米比亚,纳米比亚,138,纳米比亚,16,0,0,0,48.785478436018494,73.37887132917362
76,墨西哥,墨西哥,137,墨西哥,5399,385,406,74,131.358609552713,173.73554611987944
77,莫桑比克,莫桑比克,136,莫桑比克,28,0,0,0,61.29778137555783,63.82014500330906
78,摩纳哥,摩纳哥,135,摩纳哥,93,0,0,0,0.8523161152170411,0.02746225000931171
79,摩洛哥,摩洛哥,134,摩洛哥,2024,136,127,1,35.6733960617318,39.09258313574913
80,摩尔多瓦,摩尔多瓦,133,摩尔多瓦,2049,115,46,5,9.976920803980313,3.8970990094260927
81,缅甸,缅甸,132,缅甸,85,11,4,0,68.15891166902856,58.76459847928221
82,秘鲁,秘鲁,34,秘鲁,10303,2784,230,37,63.82396572321608,107.39829219089371
83,孟加拉国,孟加拉国,131,孟加拉国,1231,219,50,4,28.41609417039054,11.66810330851551
84,蒙塞拉特岛,蒙塞拉特岛,130,蒙塞拉特岛,11,0,0,0,0.3013145727525658,0.004275569856415917
85,蒙古,蒙古,129,蒙古,30,0,0,0,79.9280784206789,185.73206105499946
86,美属维尔京群岛,美属维尔京群岛,128,美属维尔京群岛,51,0,1,0,0.6600723480560536,0.010213949793748518
87,美国,美国,127,美国,604070,25802,25871,2395,527.3581157276383,1112.9050036308156
88,毛里塔尼亚,毛里塔尼亚,126,毛里塔尼亚,7,0,1,0,51.12697975701862,92.621674883159
89,毛里求斯,毛里求斯,125,毛里求斯,324,0,9,0,1.3969938726654658,0.11273432997091014
90,马约特岛,马约特岛,124,马约特岛,221,4,3,0,0.5941586579074284,0.01314678003616037
91,马提尼克,马提尼克,123,马提尼克,158,1,8,0,1.122090061715181,0.06328798788871343
92,马里亚纳群岛,马里亚纳群岛,122,马里亚纳群岛,13,0,2,0,5.052993281206864,0.09621417961534802
93,马里,马里,121,马里,144,21,13,3,59.941406505727656,105.49231858205916
94,马来西亚,马来西亚,120,马来西亚,5072,85,83,1,49.83001741353516,26.72154423503361
95,马拉维,马拉维,119,马拉维,16,0,2,0,22.71761665511548,7.855054864778357
96,马耳他,马耳他,118,马耳他,399,6,3,0,0.6356257713717046,0.022850810803181534
97,马尔维纳斯群岛（福克兰）,马尔维纳斯群岛（福克兰）,117,马尔维纳斯群岛（福克兰）,11,0,0,0,13.841898776692645,1.4132403670486962
98,马尔代夫,马尔代夫,116,马尔代夫,21,1,0,0,4.263072774894659,0.9783650323967109
99,马恩岛,马恩岛,115,马恩岛,254,12,2,0,0.9719365971267176,0.04656292840224973
100,马达加斯加,马达加斯加,114,马达加斯加,110,0,0,0,40.4199381047602,49.633709719626076
101,罗马尼亚,罗马尼亚,113,罗马尼亚,7216,337,372,28,26.4547779549565,26.91752658473789
102,卢旺达,卢旺达,112,卢旺达,136,2,0,0,6.096449092656217,2.102544825122178
103,卢森堡,卢森堡,111,卢森堡,3373,66,69,0,2.225166435247727,0.3319972299621789
104,留尼汪,留尼汪,110,留尼汪,390,0,0,0,1.7500307292354147,0.17390152491151134
105,列支敦士登,列支敦士登,109,列支敦士登,81,0,1,0,0.5537338509349256,0.014136864978593625
106,利比亚,利比亚,107,利比亚,48,13,1,0,56.750229560444666,148.12031283507056
107,利比里亚,利比里亚,106,利比里亚,59,0,6,0,13.951479545146029,7.857906360218172
108,立陶宛,立陶宛,108,立陶宛,1091,21,29,5,13.706736261736541,9.209607774088644
109,黎巴嫩,黎巴嫩,105,黎巴嫩,658,17,21,0,4.396857736453323,0.9857291017588291
110,老挝,老挝,104,老挝,19,0,0,0,32.11879367718486,18.94525851603384
111,拉脱维亚,拉脱维亚,103,拉脱维亚,666,9,5,0,17.67447514687702,8.498445404999536
112,库拉索,库拉索,102,库拉索,14,0,1,0,1.0267602865034027,0.018749631827510688
113,肯尼亚,肯尼亚,101,肯尼亚,225,9,10,1,32.64453207718544,46.05800391098527
114,克罗地亚,克罗地亚,100,克罗地亚,1741,37,34,3,27.832937848644814,6.697720489730958
115,科威特,科威特,98,科威特,1405,50,3,0,7.773666661161188,1.8230353152445027
116,科特迪瓦,科特迪瓦,97,科特迪瓦,654,16,6,0,27.20026967613636,26.516860934352863
117,科索沃,科索沃,99,科索沃,397,10,9,1,3.370217012442882,0.47929182541302084
118,开曼群岛,开曼群岛,96,开曼群岛,54,0,1,0,0.7550701551740369,0.01847884226396678
119,卡塔尔,卡塔尔,94,卡塔尔,3711,283,7,0,4.7873525990947545,1.1415420848891062
120,喀麦隆,喀麦隆,95,喀麦隆,855,0,17,2,38.623949252490895,38.73945937697293
121,津巴布韦,津巴布韦,93,津巴布韦,23,5,3,0,24.014565161190898,33.489217774594756
122,捷克,捷克,92,捷克,6303,162,166,5,15.818643910981212,9.585600844794685
123,柬埔寨,柬埔寨,91,柬埔寨,122,0,0,0,18.634025283468926,15.451451733370181
124,加蓬,加蓬,88,加蓬,87,7,1,0,27.040589254451948,20.54008092503478
125,加纳,加纳,87,加纳,636,0,8,0,20.85129287889849,20.099997197909374
126,加拿大,加拿大,86,加拿大,27540,1394,954,131,1539.4681504668765,1671.6081244929155
127,几内亚比绍,几内亚比绍,90,几内亚比绍,43,3,0,0,12.294015676967598,2.4913868196676736
128,几内亚,几内亚,89,几内亚,404,41,1,1,26.23962135605947,21.418330695591425
129,吉尔吉斯斯坦,吉尔吉斯斯坦,85,吉尔吉斯斯坦,466,17,5,0,30.688005248496754,19.77180808260928
130,吉布提,吉布提,84,吉布提,435,72,2,0,7.321132164427829,1.9696939954664814
131,洪都拉斯,洪都拉斯,83,洪都拉斯,419,12,31,5,15.959010772843447,9.467039963324622
132,黑山,黑山,82,黑山,288,0,4,0,5.520460186577659,1.36856711638278
133,荷兰加勒比区,荷兰加勒比区,81,荷兰加勒比区,4,0,0,0,0.8821020672411013,0.027140060892090413
134,荷兰,荷兰,80,荷兰,28153,734,3134,189,16.128406649810675,4.0342437462578475
135,韩国,韩国,79,韩国,10613,22,229,4,17.982893369831103,9.888493694113754
136,海地,海地,78,海地,41,1,3,0,10.742145566003915,2.2668577654257502
137,哈萨克斯坦,哈萨克斯坦,77,哈萨克斯坦,1295,20,16,4,134.03289397384617,323.8480050133398
138,圭亚那,圭亚那,76,圭亚那,48,1,6,0,23.471985101082605,16.92244281438423
139,关岛,关岛,75,关岛,135,0,5,0,0.9921547949024614,0.057939969908513876
140,瓜德罗普,瓜德罗普,74,瓜德罗普,145,0,8,0,0.8915983816403303,0.04435794730802751
141,古巴,古巴,73,古巴,814,48,24,3,31.393641806629066,9.419455764334094
142,根西,根西,72,根西,223,4,7,1,0.40007693739604955,0.0061600761127851246
143,格鲁吉亚,格鲁吉亚,71,格鲁吉亚,336,30,3,0,15.206746873535936,7.63298337556257
144,格陵兰,格陵兰,70,格陵兰,11,0,0,0,524.1608440928707,671.6911971742425
145,格林纳达,格林纳达,69,格林纳达,14,0,0,0,0.5389204410904062,0.011831310053286394
146,哥斯达黎加,哥斯达黎加,68,哥斯达黎加,618,6,3,0,12.558748432941519,4.506711944937721
147,哥伦比亚,哥伦比亚,67,哥伦比亚,2979,127,127,15,61.59567021749119,92.59563807971996
148,刚果（金）,刚果（金）,65,刚果（金）,267,13,22,1,76.61868841342815,190.07061972435386
149,刚果（布）,刚果（布）,64,刚果（布）,117,43,5,0,33.95356808269181,26.898727715137557
150,冈比亚,冈比亚,66,冈比亚,9,0,1,0,6.839600022088074,0.9524190650589026
151,佛得角,佛得角,63,佛得角,10,0,1,0,5.280729626712725,0.10443916008452264
152,芬兰,芬兰,62,芬兰,3237,76,72,8,54.274344331958034,62.152772808088876
153,斐济,斐济,61,斐济,16,0,0,0,10.038326159203,1.3592394278714153
154,菲律宾,菲律宾,60,菲律宾,5453,230,349,14,104.06761462124415,23.039133293056114
155,梵蒂冈,梵蒂冈,59,梵蒂冈,8,0,0,0,0.7842750336301076,0.014991910040516409
156,法属圭亚那,法属圭亚那,58,法属圭亚那,95,7,0,0,12.489485824908654,7.400661348997357
157,法属波利尼西亚,法属波利尼西亚,57,法属波利尼西亚,55,0,0,0,1.2676477383096398,0.08405644534008595
158,法罗群岛,法罗群岛,56,法罗群岛,184,0,0,0,0.675786615585047,0.019108692037393057
159,法国,法国,55,法国,105155,2622,17146,1438,65.84948177344343,66.25266750373711
160,厄立特里亚,厄立特里亚,54,厄立特里亚,35,1,0,0,22.071733292904064,10.373414452655513
161,厄瓜多尔,厄瓜多尔,53,厄瓜多尔,7858,255,388,19,31.184868452122515,20.28397958869074
162,俄罗斯,俄罗斯,52,俄罗斯,27938,3448,232,34,1086.6226050090922,2913.420135690986
163,多米尼克,多米尼克,51,多米尼克,16,0,0,0,0.9165300698187111,0.03803228906603311
164,多米尼加,多米尼加,50,多米尼加,3614,328,189,6,11.055731619200412,4.114215997556198
165,多哥,多哥,49,多哥,77,0,3,0,12.905585097384344,4.596587935937332
166,东帝汶,东帝汶,48,东帝汶,6,0,0,0,6.727455188594297,1.2596039661907503
167,德国,德国,47,德国,130450,2866,3569,315,43.89945938952396,46.49600069178088
168,丹麦,丹麦,46,丹麦,6681,170,309,10,26.661887386371106,6.245518762663035
169,赤道几内亚,赤道几内亚,45,赤道几内亚,51,10,0,0,8.11719784960081,2.4481406002445394
170,布隆迪,布隆迪,44,布隆迪,5,0,0,0,7.145071048083432,2.3691738454097306
171,布基纳法索,布基纳法索,43,布基纳法索,528,13,28,0,24.998218258751542,22.927496730226487
172,不丹,不丹,42,不丹,5,0,0,0,8.209429426613127,3.2656044847750634
173,博茨瓦纳,博茨瓦纳,40,博茨瓦纳,13,0,1,0,32.13204210091784,50.272960671372445
174,伯利兹,伯利兹,41,伯利兹,18,0,2,0,7.306004157341348,2.064137182040487
175,玻利维亚,玻利维亚,39,玻利维亚,397,43,28,0,49.64870151710163,90.2341013343591
176,波兰,波兰,38,波兰,7582,380,286,23,29.423172375593182,41.04475511016553
177,波黑,波黑,37,波黑,1116,30,41,1,8.8953009035545,3.9014952797185294
178,波多黎各,波多黎各,36,波多黎各,974,51,51,6,4.370298525952428,0.7359221104986404
179,冰岛,冰岛,35,冰岛,1727,7,8,0,44.847522370830426,19.53086442103322
180,比利时,比利时,33,比利时,33573,2454,4440,283,9.590603160642507,3.8561271050730115
181,被占巴勒斯坦领土,被占巴勒斯坦领土,30,被占巴勒斯坦领土,293,5,2,0,2.9335410719694686,0.1699002241734613
182,贝宁,贝宁,31,贝宁,35,0,1,0,17.00758618326484,10.20156507434241
183,北马其顿,北马其顿,29,北马其顿,974,66,45,1,7.235451920579935,3.017952795752489
184,保加利亚,保加利亚,32,保加利亚,747,34,36,1,18.486250579840956,12.036351750300494
185,百慕大,百慕大,28,百慕大,57,0,5,0,0.4560482459679698,0.004172064449177299
186,白俄罗斯,白俄罗斯,27,白俄罗斯,3728,447,36,3,26.620256515886478,29.226190052126366
187,巴西,巴西,26,巴西,25262,1832,1532,204,203.68408592836423,713.67770021554
188,巴拿马,巴拿马,25,巴拿马,3574,102,95,1,21.354909305120195,6.231212989740694
189,巴林,巴林,24,巴林,1677,149,7,0,0.7772869774828717,0.01787832000827334
190,巴拉圭,巴拉圭,23,巴拉圭,161,2,8,1,29.50734853486281,35.3635606368516
191,巴基斯坦,巴基斯坦,22,巴基斯坦,6505,517,124,17,71.22729220349365,74.32325893852594
192,巴哈马,巴哈马,21,巴哈马,49,0,8,0,23.878201820393326,1.1782859882294254
193,巴布亚新几内亚,巴布亚新几内亚,20,巴布亚新几内亚,2,0,0,0,77.82782546054341,37.670346614224755
194,巴巴多斯,巴巴多斯,19,巴巴多斯,73,1,5,1,0.6844309242776034,0.0194996224914391
195,澳大利亚,澳大利亚,18,澳大利亚,6458,42,63,2,218.54706975542643,697.4668706949104
196,奥地利,奥地利,17,奥地利,14370,136,393,9,19.78545543354242,9.894883715319137
197,安提瓜和巴布达,安提瓜和巴布达,16,安提瓜和巴布达,23,0,2,0,0.524629396264016,0.016659382313546273
198,安圭拉,安圭拉,15,安圭拉,3,0,0,0,0.3092802450450131,0.004158549292078383
199,安哥拉,安哥拉,14,安哥拉,19,0,2,0,57.32636066901132,104.60375782398704
200,安道尔,安道尔,13,安道尔,673,14,33,2,1.1483655816419986,0.04818601505948762
201,爱沙尼亚,爱沙尼亚,12,爱沙尼亚,1402,29,35,4,19.427155810421876,6.5710562202544525
202,爱尔兰,爱尔兰,11,爱尔兰,12547,1068,444,38,25.606289859936528,9.679745150827545
203,埃塞俄比亚,埃塞俄比亚,10,埃塞俄比亚,85,3,3,0,43.97351072336226,93.69755942008163
204,埃及,埃及,9,埃及,2505,155,183,5,46.51183683093945,88.79406872385928
205,阿塞拜疆,阿塞拜疆,8,阿塞拜疆,1253,56,13,0,20.694081153422847,8.87799175042217
206,阿曼,阿曼,7,阿曼,1019,109,4,0,30.605365290886958,26.863630254244924
207,阿鲁巴,阿鲁巴,6,阿鲁巴,93,1,1,1,0.5011279974656415,0.005806866656274296
208,阿联酋,阿联酋,5,阿联酋,5365,432,33,5,15.781914584221777,7.6239507706347815
209,阿根廷,阿根廷,4,阿根廷,2477,141,108,7,124.43384391102607,278.07097318538507
210,阿富汗,阿富汗,3,阿富汗,794,24,29,4,46.10315447724982,61.25874997452178
211,阿尔及利亚,阿尔及利亚,2,阿尔及利亚,2160,90,336,10,68.11289203523242,213.68248179012664
212,阿尔巴尼亚,阿尔巴尼亚,1,阿尔巴尼亚,494,19,25,1,7.9738397279708435,2.9615437393915207
