OBJECTID,globe_中文名,name_cn,gb_yq_20200305xls_OBJECTID,地区国家,累计确诊,新增确诊,gb_yq_20200305xls_累计死亡,gb_yq_20200305xls_新增死亡,Shape_Length,Shape_Area
1,阿尔及利亚,阿尔及利亚,1,阿尔及利亚,12,7,0,0,68.11289203523224,213.6824817901263
2,阿富汗,阿富汗,2,阿富汗,1,0,0,0,46.10315447724969,61.25874997452199
3,阿根廷,阿根廷,3,阿根廷,1,0,0,0,124.43384391102639,278.07097318538524
4,阿联酋,阿联酋,4,阿联酋,27,0,0,0,15.781914584221616,7.623950770634311
5,阿曼,阿曼,5,阿曼,15,3,0,0,30.60536529088686,26.863630254245184
6,阿塞拜疆,阿塞拜疆,6,阿塞拜疆,3,0,0,0,20.694081153422545,8.877991750422158
7,埃及,埃及,7,埃及,2,0,0,0,46.51183683093997,88.79406872386022
8,爱尔兰,爱尔兰,8,爱尔兰,2,0,0,0,25.60628985993701,9.67974515082728
9,爱沙尼亚,爱沙尼亚,9,爱沙尼亚,2,0,0,0,19.427155810421777,6.571056220254507
10,安道尔,安道尔,10,安道尔,1,0,0,0,1.148365581641772,0.048186015059485804
11,奥地利,奥地利,11,奥地利,37,13,0,0,19.785455433542936,9.894883715319143
12,澳大利亚,澳大利亚,12,澳大利亚,66,23,3,2,218.54706975542805,697.4668706949112
13,巴基斯坦,巴基斯坦,13,巴基斯坦,5,0,0,0,71.22729220349414,74.32325893852614
14,巴林,巴林,14,巴林,49,0,0,0,0.7772869774829815,0.017878320008286028
15,巴西,巴西,15,巴西,3,1,0,0,203.68408592836326,713.6777002155402
16,白俄罗斯,白俄罗斯,16,白俄罗斯,6,5,0,0,26.620256515886354,29.22619005212672
17,比利时,比利时,19,比利时,23,15,0,0,9.590603160642818,3.8561271050731585
18,冰岛,冰岛,20,冰岛,26,10,0,0,44.847522370830106,19.530864421033492
19,波兰,波兰,22,波兰,1,0,0,0,29.423172375593367,41.04475511016577
20,丹麦,丹麦,23,丹麦,10,2,0,0,26.661887386371166,6.24551876266293
21,德国,德国,24,德国,262,66,0,0,43.899459389523734,46.496000691781006
22,多米尼加,多米尼加,25,多米尼加,1,0,0,0,11.055731619200202,4.114215997556154
23,俄罗斯,俄罗斯,26,俄罗斯,3,0,0,0,1086.6226050090904,2913.4201356909866
24,厄瓜多尔,厄瓜多尔,27,厄瓜多尔,7,0,0,0,31.184868452122494,20.283979588690894
25,法国,法国,28,法国,282,73,4,0,65.84948177344266,66.25266750373707
26,菲律宾,菲律宾,29,菲律宾,3,0,1,0,104.06761462124311,23.03913329305567
27,芬兰,芬兰,30,芬兰,7,0,0,0,54.27434433195834,62.15277280808904
